Year,LocationName,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,CountyFIPS
2022,17031803100,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.5,,,7.5,9.5,3616,2601,POINT (-87.9864133 42.1003925),17031803100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031640500,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.3,,,8.3,10.4,3896,3094,POINT (-87.7909879 41.7756825),17031640500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031820605,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.9,,,10.6,13.4,4523,3365,POINT (-87.8309652 41.7384267),17031820605,HLTHOUT,DIABETES,CrdPrv,Diabetes,17031
2022,17031730700,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.7,,,6.0,7.4,2281,1750,POINT (-87.6500793 41.7030817),17031730700,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031640600,Disability,Vision disability among adults,%,Crude prevalence,5.7,,,5.2,6.2,4063,3208,POINT (-87.7714298 41.7760362),17031640600,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031809600,Health Outcomes,Obesity among adults,%,Crude prevalence,32.9,,,29.3,36.7,3319,2406,POINT (-87.6999044 42.0447451),17031809600,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031803608,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,5.1,,,4.6,5.6,7544,5840,POINT (-88.0735467 42.1440733),17031803608,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031820104,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,70.2,,,67.4,72.9,4453,3591,POINT (-87.877102 41.7821533),17031820104,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031801603,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,12.6,,,11.2,14.1,4138,3221,POINT (-87.8770893 42.087117),17031801603,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2022,17031816000,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,70.8,,,68.0,73.6,3307,2943,POINT (-87.8163473 41.8763759),17031816000,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031807900,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,10.8,,,9.5,12.2,4201,3396,POINT (-87.7487798 42.0041886),17031807900,HLTHOUT,DIABETES,CrdPrv,Diabetes,17031
2022,17031630900,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.1,,,8.1,10.2,5204,3752,POINT (-87.7083655 41.7898114),17031630900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031691400,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.9,,,11.5,14.3,3411,2673,POINT (-87.6101685 41.7548455),17031691400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031640100,Disability,Vision disability among adults,%,Crude prevalence,7.5,,,6.9,8.2,1312,1006,POINT (-87.7398608 41.7819196),17031640100,DISABLT,VISION,CrdPrv,Vision Disability,17031
2021,17031691200,Health Outcomes,High blood pressure among adults,%,Crude prevalence,47.3,,,43.7,50.4,2277,1694,POINT (-87.6304113 41.7526208),17031691200,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
2022,17031808400,Health Outcomes,Current asthma among adults,%,Crude prevalence,7.9,,,7.0,8.8,4622,3634,POINT (-87.7938583 42.048738),17031808400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031650500,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,5.7,,,5.1,6.3,4401,3313,POINT (-87.7320352 41.7622187),17031650500,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031817500,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,47.6,,,44.3,50.8,3612,2785,POINT (-87.8358233 41.880293),17031817500,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2021,17031803613,Health Outcomes,High blood pressure among adults,%,Crude prevalence,25.0,,,22.1,27.5,3434,2444,POINT (-88.0135006 42.1403097),17031803613,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
2022,17031670400,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,8.0,,,7.2,8.8,1585,1158,POINT (-87.6717698 41.7902996),17031670400,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031804403,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.2,,,8.1,10.2,7297,5715,POINT (-88.242414 42.0513685),17031804403,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031640800,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,5.4,,,4.9,6.0,1799,1323,POINT (-87.7397422 41.7748241),17031640800,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031807300,Disability,Mobility disability among adults,%,Crude prevalence,10.7,,,9.5,11.9,7718,6243,POINT (-87.7549133 42.0337614),17031807300,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
2022,17031809600,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,11.0,,,9.7,12.4,3319,2406,POINT (-87.6999044 42.0447451),17031809600,HLTHOUT,DIABETES,CrdPrv,Diabetes,17031
2022,17031803100,Disability,Mobility disability among adults,%,Crude prevalence,7.9,,,7.0,8.8,3616,2601,POINT (-87.9864133 42.1003925),17031803100,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
2022,17031804713,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,2.8,,,2.5,3.1,5037,3917,POINT (-88.0899484 42.0535227),17031804713,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2021,17031805401,Health Outcomes,High blood pressure among adults,%,Crude prevalence,29.6,,,26.5,32.4,4056,3284,POINT (-87.8259769 42.0330767),17031805401,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
2022,17031807500,Disability,Vision disability among adults,%,Crude prevalence,3.6,,,3.3,4.0,3327,2607,POINT (-87.728138 42.0279578),17031807500,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031806502,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,64.6,,,61.5,67.4,4202,3365,POINT (-87.8782773 42.0165164),17031806502,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2021,17031822200,Health Outcomes,High blood pressure among adults,%,Crude prevalence,30.3,,,27.2,33.0,3929,3016,POINT (-87.7590953 41.727213),17031822200,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
2021,17031803500,Health Outcomes,High blood pressure among adults,%,Crude prevalence,28.3,,,25.3,31.0,5803,4414,POINT (-87.9940638 42.0739284),17031803500,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,17031
